gd_discipline;gd_discipline_lib;discipline;discipline_lib;sect_disciplinaire;sect_disciplinaire_lib;serie_bac;serie_bac_lib;age_au_bac;age_au_bac_lib;sexe;sexe_lib;mention_bac;mention_bac_lib;cohorte_passage;effectif_neobacheliers_passage;passage_en_l2_1_an;redoublement_en_l1;passage_en_l2_2_ans;passage_en_l2_1_2_ans;reorientation_en_dut_1_an;reorientation_en_dut_2_ans;reorientation_en_dut;cohorte_reussite;effectif_neobacheliers_reussite;reussite_3_ans;reussite_4_ans;reussite_3_4_ans
LLSH;Lettres, langues et sciences humaines;05;Langues;23;Langues et littératures étrangères;1;BAC L;R2;En retard de plus d'un an;1;Homme;Q;Inconnue;2014;4.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;2012;3.0;0.0;0.0;0.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;33;Sociologie, démographie;5;BAC technologique hors STMG;R2;En retard de plus d'un an;1;Homme;D;Passable premier groupe;2014;7.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;2012;3.0;0.0;0.0;0.0
LLSH;Lettres, langues et sciences humaines;05;Langues;23;Langues et littératures étrangères;3;BAC S;R0;A l'heure ou en avance;1;Homme;A;Très bien;2014;14.0;11.0;0.0;1.0;12.0;0.0;0.0;0.0;2012;9.0;2.0;2.0;4.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;34;Sciences de l'éducation;4;BAC STMG;R1;En retard d'un an;1;Homme;B;Bien;2014;;;;;;;;;2012;1.0;1.0;0.0;1.0
LLSH;Lettres, langues et sciences humaines;05;Langues;23;Langues et littératures étrangères;4;BAC STMG;R0;A l'heure ou en avance;2;Femme;C;Assez bien;2014;110.0;20.0;39.0;15.0;35.0;0.0;2.0;2.0;2012;72.0;12.0;9.0;21.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;34;Sciences de l'éducation;4;BAC STMG;R1;En retard d'un an;2;Femme;D;Passable premier groupe;2014;19.0;4.0;2.0;1.0;5.0;0.0;0.0;0.0;2012;8.0;2.0;1.0;3.0
LLSH;Lettres, langues et sciences humaines;05;Langues;23;Langues et littératures étrangères;6;BAC professionnel;R4;Non pris en compte;1;Homme;Q;Inconnue;2014;38.0;1.0;10.0;2.0;3.0;0.0;0.0;0.0;2012;35.0;0.0;0.0;0.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;34;Sciences de l'éducation;4;BAC STMG;R2;En retard de plus d'un an;1;Homme;P;Passable deuxième groupe;2014;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2012;;;;
LLSH;Lettres, langues et sciences humaines;05;Langues;24;Langues étrangères appliquées;1;BAC L;R1;En retard d'un an;1;Homme;Q;Inconnue;2014;5.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;2012;1.0;1.0;0.0;1.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;35;Sciences de l'information et la communication;2;BAC ES;R2;En retard de plus d'un an;2;Femme;D;Passable premier groupe;2014;6.0;5.0;0.0;0.0;5.0;0.0;0.0;0.0;2012;12.0;7.0;3.0;10.0
LLSH;Lettres, langues et sciences humaines;05;Langues;24;Langues étrangères appliquées;2;BAC ES;R2;En retard de plus d'un an;1;Homme;C;Assez bien;2014;2.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2012;3.0;1.0;0.0;1.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;35;Sciences de l'information et la communication;3;BAC S;R1;En retard d'un an;1;Homme;A;Très bien;2014;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2012;;;;
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;35;Sciences de l'information et la communication;3;BAC S;R1;En retard d'un an;1;Homme;Q;Inconnue;2014;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2012;;;;
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;35;Sciences de l'information et la communication;4;BAC STMG;R2;En retard de plus d'un an;2;Femme;B;Bien;2014;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2012;2.0;1.0;0.0;1.0
DSA;Droit, gestion, économie, AES;03;Administration économique et sociale;40;Administration économique et sociale;3;BAC S;R2;En retard de plus d'un an;2;Femme;Q;Inconnue;2014;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;2012;1.0;0.0;0.0;0.0
DSA;Droit, gestion, économie, AES;03;Administration économique et sociale;40;Administration économique et sociale;4;BAC STMG;R1;En retard d'un an;2;Femme;P;Passable deuxième groupe;2014;79.0;3.0;32.0;7.0;10.0;0.0;0.0;0.0;2012;116.0;2.0;5.0;7.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;66;Pluridisciplinaire sciences humaines et sociales;2;BAC ES;R0;A l'heure ou en avance;2;Femme;Q;Inconnue;2014;8.0;7.0;0.0;0.0;7.0;0.0;0.0;0.0;2012;10.0;5.0;2.0;7.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;66;Pluridisciplinaire sciences humaines et sociales;2;BAC ES;R2;En retard de plus d'un an;1;Homme;Q;Inconnue;2014;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2012;;;;
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;66;Pluridisciplinaire sciences humaines et sociales;3;BAC S;R0;A l'heure ou en avance;2;Femme;P;Passable deuxième groupe;2014;25.0;17.0;5.0;1.0;18.0;1.0;0.0;1.0;2012;23.0;6.0;5.0;11.0
DSA;Droit, gestion, économie, AES;03;Administration économique et sociale;40;Administration économique et sociale;5;BAC technologique hors STMG;R1;En retard d'un an;2;Femme;D;Passable premier groupe;2014;36.0;3.0;15.0;3.0;6.0;0.0;0.0;0.0;2012;32.0;4.0;2.0;6.0
DSA;Droit, gestion, économie, AES;03;Administration économique et sociale;40;Administration économique et sociale;6;BAC professionnel;R4;Non pris en compte;1;Homme;A;Très bien;2014;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2012;1.0;0.0;0.0;0.0
DSA;Droit, gestion, économie, AES;03;Administration économique et sociale;40;Administration économique et sociale;6;BAC professionnel;R4;Non pris en compte;2;Femme;B;Bien;2014;38.0;4.0;11.0;1.0;5.0;0.0;0.0;0.0;2012;28.0;3.0;2.0;5.0
SI;Sciences et sciences de l'ingénieur;09;Sciences de la vie, de la terre et de l'univers;5;Sciences de l'univers;2;BAC ES;R0;A l'heure ou en avance;2;Femme;C;Assez bien;2014;;;;;;;;;2012;2.0;2.0;0.0;2.0
LLSH;Lettres, langues et sciences humaines;04;Lettres, sciences du langage, arts;17;Sciences du langage, linguistique;2;BAC ES;R0;A l'heure ou en avance;2;Femme;D;Passable premier groupe;2014;135.0;72.0;19.0;11.0;83.0;2.0;1.0;3.0;2012;114.0;53.0;14.0;67.0
LLSH;Lettres, langues et sciences humaines;04;Lettres, sciences du langage, arts;17;Sciences du langage, linguistique;2;BAC ES;R1;En retard d'un an;2;Femme;A;Très bien;2014;;;;;;;;;2012;2.0;1.0;1.0;2.0
SI;Sciences et sciences de l'ingénieur;09;Sciences de la vie, de la terre et de l'univers;5;Sciences de l'univers;5;BAC technologique hors STMG;R2;En retard de plus d'un an;2;Femme;D;Passable premier groupe;2014;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2012;9.0;0.0;1.0;1.0
LLSH;Lettres, langues et sciences humaines;04;Lettres, sciences du langage, arts;18;Langues et littératures anciennes;1;BAC L;R2;En retard de plus d'un an;1;Homme;D;Passable premier groupe;2014;;;;;;;;;2012;3.0;0.0;0.0;0.0
SI;Sciences et sciences de l'ingénieur;09;Sciences de la vie, de la terre et de l'univers;6;Sciences de la vie;2;BAC ES;R0;A l'heure ou en avance;1;Homme;A;Très bien;2014;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2012;;;;
LLSH;Lettres, langues et sciences humaines;04;Lettres, sciences du langage, arts;18;Langues et littératures anciennes;6;BAC professionnel;R4;Non pris en compte;2;Femme;D;Passable premier groupe;2014;;;;;;;;;2012;1.0;0.0;0.0;0.0
SI;Sciences et sciences de l'ingénieur;09;Sciences de la vie, de la terre et de l'univers;6;Sciences de la vie;3;BAC S;R2;En retard de plus d'un an;1;Homme;B;Bien;2014;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2012;1.0;1.0;0.0;1.0
LLSH;Lettres, langues et sciences humaines;04;Lettres, sciences du langage, arts;21;Arts;1;BAC L;R0;A l'heure ou en avance;1;Homme;B;Bien;2014;85.0;62.0;9.0;9.0;71.0;1.0;0.0;1.0;2012;45.0;23.0;2.0;25.0
SI;Sciences et sciences de l'ingénieur;09;Sciences de la vie, de la terre et de l'univers;6;Sciences de la vie;5;BAC technologique hors STMG;R2;En retard de plus d'un an;2;Femme;B;Bien;2014;9.0;2.0;2.0;1.0;3.0;0.0;0.0;0.0;2012;5.0;1.0;0.0;1.0
SI;Sciences et sciences de l'ingénieur;09;Sciences de la vie, de la terre et de l'univers;69;Pluridisciplinaire sciences de la vie, de la santé, de la terre et de l'univers;1;BAC L;R1;En retard d'un an;2;Femme;D;Passable premier groupe;2014;;;;;;;;;2012;2.0;0.0;0.0;0.0
SI;Sciences et sciences de l'ingénieur;09;Sciences de la vie, de la terre et de l'univers;69;Pluridisciplinaire sciences de la vie, de la santé, de la terre et de l'univers;2;BAC ES;R1;En retard d'un an;2;Femme;D;Passable premier groupe;2014;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2012;4.0;0.0;0.0;0.0
SI;Sciences et sciences de l'ingénieur;09;Sciences de la vie, de la terre et de l'univers;69;Pluridisciplinaire sciences de la vie, de la santé, de la terre et de l'univers;3;BAC S;R1;En retard d'un an;1;Homme;Q;Inconnue;2014;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2012;2.0;0.0;0.0;0.0
SI;Sciences et sciences de l'ingénieur;09;Sciences de la vie, de la terre et de l'univers;69;Pluridisciplinaire sciences de la vie, de la santé, de la terre et de l'univers;3;BAC S;R2;En retard de plus d'un an;2;Femme;P;Passable deuxième groupe;2014;6.0;1.0;4.0;1.0;2.0;0.0;0.0;0.0;2012;8.0;0.0;0.0;0.0
SI;Sciences et sciences de l'ingénieur;09;Sciences de la vie, de la terre et de l'univers;69;Pluridisciplinaire sciences de la vie, de la santé, de la terre et de l'univers;4;BAC STMG;R1;En retard d'un an;2;Femme;C;Assez bien;2014;;;;;;;;;2012;1.0;0.0;0.0;0.0
DSA;Droit, gestion, économie, AES;01;Droit, sciences politiques;36;Sciences juridiques;2;BAC ES;R1;En retard d'un an;1;Homme;C;Assez bien;2014;189.0;82.0;68.0;33.0;115.0;6.0;0.0;6.0;2012;255.0;57.0;61.0;118.0
DSA;Droit, gestion, économie, AES;01;Droit, sciences politiques;36;Sciences juridiques;2;BAC ES;R1;En retard d'un an;1;Homme;Q;Inconnue;2014;26.0;5.0;13.0;7.0;12.0;0.0;0.0;0.0;2012;21.0;1.0;2.0;3.0
DSA;Droit, gestion, économie, AES;01;Droit, sciences politiques;36;Sciences juridiques;4;BAC STMG;R0;A l'heure ou en avance;2;Femme;D;Passable premier groupe;2014;411.0;9.0;181.0;35.0;44.0;9.0;4.0;13.0;2012;342.0;3.0;34.0;37.0
DSA;Droit, gestion, économie, AES;01;Droit, sciences politiques;36;Sciences juridiques;4;BAC STMG;R1;En retard d'un an;2;Femme;D;Passable premier groupe;2014;343.0;2.0;162.0;21.0;23.0;5.0;0.0;5.0;2012;325.0;7.0;26.0;33.0
LLSH;Lettres, langues et sciences humaines;04;Lettres, sciences du langage, arts;17;Sciences du langage, linguistique;4;BAC STMG;R2;En retard de plus d'un an;1;Homme;D;Passable premier groupe;2014;;;;;;;;;2012;1.0;0.0;0.0;0.0
DSA;Droit, gestion, économie, AES;01;Droit, sciences politiques;37;Sciences politiques;5;BAC technologique hors STMG;R1;En retard d'un an;2;Femme;B;Bien;2014;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2012;1.0;1.0;0.0;1.0
DSA;Droit, gestion, économie, AES;02;Sciences économiques, gestion;39;Sciences de gestion;6;BAC professionnel;R4;Non pris en compte;1;Homme;A;Très bien;2014;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;2012;2.0;1.0;1.0;2.0
DSA;Droit, gestion, économie, AES;01;Droit, sciences politiques;61;Pluridisciplinaire droit, sciences politiques;1;BAC L;R1;En retard d'un an;1;Homme;Q;Inconnue;2014;;;;;;;;;2012;4.0;1.0;1.0;2.0
DSA;Droit, gestion, économie, AES;02;Sciences économiques, gestion;62;Pluridisciplinaire sciences économiques et gestion;1;BAC L;R1;En retard d'un an;2;Femme;Q;Inconnue;2014;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2012;;;;
DSA;Droit, gestion, économie, AES;01;Droit, sciences politiques;61;Pluridisciplinaire droit, sciences politiques;4;BAC STMG;R2;En retard de plus d'un an;1;Homme;P;Passable deuxième groupe;2014;;;;;;;;;2012;9.0;1.0;0.0;1.0
DSA;Droit, gestion, économie, AES;02;Sciences économiques, gestion;62;Pluridisciplinaire sciences économiques et gestion;3;BAC S;R0;A l'heure ou en avance;2;Femme;P;Passable deuxième groupe;2014;81.0;30.0;31.0;14.0;44.0;0.0;0.0;0.0;2012;56.0;9.0;11.0;20.0
DSA;Droit, gestion, économie, AES;01;Droit, sciences politiques;61;Pluridisciplinaire droit, sciences politiques;5;BAC technologique hors STMG;R2;En retard de plus d'un an;1;Homme;B;Bien;2014;;;;;;;;;2012;1.0;1.0;0.0;1.0
DSA;Droit, gestion, économie, AES;02;Sciences économiques, gestion;38;Sciences économiques;1;BAC L;R0;A l'heure ou en avance;1;Homme;Q;Inconnue;2014;;;;;;;;;2012;1.0;0.0;0.0;0.0
DSA;Droit, gestion, économie, AES;02;Sciences économiques, gestion;38;Sciences économiques;4;BAC STMG;R0;A l'heure ou en avance;2;Femme;B;Bien;2014;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2012;1.0;0.0;0.0;0.0
DSA;Droit, gestion, économie, AES;02;Sciences économiques, gestion;39;Sciences de gestion;1;BAC L;R0;A l'heure ou en avance;2;Femme;Q;Inconnue;2014;;;;;;;;;2012;3.0;3.0;0.0;3.0
DSA;Droit, gestion, économie, AES;03;Administration économique et sociale;40;Administration économique et sociale;1;BAC L;R1;En retard d'un an;1;Homme;B;Bien;2014;;;;;;;;;2012;1.0;0.0;0.0;0.0
DSA;Droit, gestion, économie, AES;02;Sciences économiques, gestion;39;Sciences de gestion;2;BAC ES;R1;En retard d'un an;1;Homme;C;Assez bien;2014;39.0;22.0;8.0;4.0;26.0;1.0;0.0;1.0;2012;25.0;8.0;3.0;11.0
DSA;Droit, gestion, économie, AES;03;Administration économique et sociale;40;Administration économique et sociale;2;BAC ES;R0;A l'heure ou en avance;2;Femme;P;Passable deuxième groupe;2014;209.0;49.0;74.0;29.0;78.0;3.0;0.0;3.0;2012;208.0;34.0;39.0;73.0
DSA;Droit, gestion, économie, AES;02;Sciences économiques, gestion;39;Sciences de gestion;4;BAC STMG;R1;En retard d'un an;2;Femme;D;Passable premier groupe;2014;14.0;3.0;4.0;1.0;4.0;0.0;0.0;0.0;2012;24.0;1.0;3.0;4.0
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;68;Pluridisciplinaire sciences fondamentales et applications;4;BAC STMG;R1;En retard d'un an;1;Homme;B;Bien;2014;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2012;;;;
DSA;Droit, gestion, économie, AES;02;Sciences économiques, gestion;39;Sciences de gestion;5;BAC technologique hors STMG;R2;En retard de plus d'un an;1;Homme;C;Assez bien;2014;;;;;;;;;2012;1.0;0.0;0.0;0.0
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;68;Pluridisciplinaire sciences fondamentales et applications;5;BAC technologique hors STMG;R1;En retard d'un an;2;Femme;C;Assez bien;2014;6.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2012;2.0;0.0;0.0;0.0
SI;Sciences et sciences de l'ingénieur;33;Pluridisciplinaire sciences;70;Pluridisciplinaire sciences;2;BAC ES;R1;En retard d'un an;1;Homme;P;Passable deuxième groupe;2014;8.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;2012;10.0;0.0;1.0;1.0
SI;Sciences et sciences de l'ingénieur;33;Pluridisciplinaire sciences;70;Pluridisciplinaire sciences;3;BAC S;R1;En retard d'un an;1;Homme;B;Bien;2014;11.0;7.0;1.0;1.0;8.0;0.0;0.0;0.0;2012;27.0;8.0;3.0;11.0
SI;Sciences et sciences de l'ingénieur;33;Pluridisciplinaire sciences;70;Pluridisciplinaire sciences;4;BAC STMG;R0;A l'heure ou en avance;2;Femme;P;Passable deuxième groupe;2014;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2012;3.0;1.0;0.0;1.0
DSA;Droit, gestion, économie, AES;02;Sciences économiques, gestion;62;Pluridisciplinaire sciences économiques et gestion;3;BAC S;R2;En retard de plus d'un an;1;Homme;B;Bien;2014;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2012;1.0;0.0;0.0;0.0
SI;Sciences et sciences de l'ingénieur;33;Pluridisciplinaire sciences;70;Pluridisciplinaire sciences;5;BAC technologique hors STMG;R0;A l'heure ou en avance;2;Femme;C;Assez bien;2014;84.0;17.0;22.0;8.0;25.0;0.0;0.0;0.0;2012;28.0;0.0;2.0;2.0
SI;Sciences et sciences de l'ingénieur;33;Pluridisciplinaire sciences;70;Pluridisciplinaire sciences;5;BAC technologique hors STMG;R1;En retard d'un an;1;Homme;C;Assez bien;2014;31.0;5.0;14.0;5.0;10.0;2.0;0.0;2.0;2012;27.0;2.0;5.0;7.0
SI;Sciences et sciences de l'ingénieur;33;Pluridisciplinaire sciences;70;Pluridisciplinaire sciences;5;BAC technologique hors STMG;R1;En retard d'un an;2;Femme;A;Très bien;2014;2.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;2012;1.0;1.0;0.0;1.0
DSA;Droit, gestion, économie, AES;03;Administration économique et sociale;40;Administration économique et sociale;1;BAC L;R1;En retard d'un an;2;Femme;B;Bien;2014;2.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;2012;;;;
STAPS;STAPS;10;STAPS;10;STAPS;1;BAC L;R2;En retard de plus d'un an;2;Femme;D;Passable premier groupe;2014;3.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2012;1.0;0.0;0.0;0.0
DSA;Droit, gestion, économie, AES;03;Administration économique et sociale;40;Administration économique et sociale;2;BAC ES;R1;En retard d'un an;2;Femme;D;Passable premier groupe;2014;156.0;67.0;45.0;23.0;90.0;5.0;3.0;8.0;2012;168.0;42.0;22.0;64.0
STAPS;STAPS;10;STAPS;10;STAPS;2;BAC ES;R1;En retard d'un an;2;Femme;A;Très bien;2014;2.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;2012;;;;
DSA;Droit, gestion, économie, AES;03;Administration économique et sociale;40;Administration économique et sociale;2;BAC ES;R2;En retard de plus d'un an;2;Femme;D;Passable premier groupe;2014;42.0;15.0;18.0;4.0;19.0;0.0;0.0;0.0;2012;50.0;11.0;6.0;17.0
STAPS;STAPS;10;STAPS;10;STAPS;4;BAC STMG;R0;A l'heure ou en avance;1;Homme;C;Assez bien;2014;136.0;30.0;54.0;25.0;55.0;1.0;2.0;3.0;2012;78.0;12.0;15.0;27.0
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;1;Mathématiques;2;BAC ES;R0;A l'heure ou en avance;2;Femme;D;Passable premier groupe;2014;6.0;1.0;2.0;2.0;3.0;0.0;0.0;0.0;2012;8.0;1.0;0.0;1.0
STAPS;STAPS;10;STAPS;10;STAPS;4;BAC STMG;R1;En retard d'un an;1;Homme;A;Très bien;2014;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2012;;;;
STAPS;STAPS;10;STAPS;10;STAPS;6;BAC professionnel;R4;Non pris en compte;1;Homme;D;Passable premier groupe;2014;494.0;7.0;185.0;15.0;22.0;0.0;1.0;1.0;2012;644.0;3.0;19.0;22.0
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;1;Mathématiques;3;BAC S;R1;En retard d'un an;2;Femme;D;Passable premier groupe;2014;27.0;11.0;10.0;7.0;18.0;0.0;0.0;0.0;2012;20.0;2.0;4.0;6.0
LLSH;Lettres, langues et sciences humaines;05;Langues;25;Cultures et langues régionales;2;BAC ES;R1;En retard d'un an;2;Femme;D;Passable premier groupe;2014;;;;;;;;;2012;1.0;0.0;0.0;0.0
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;1;Mathématiques;5;BAC technologique hors STMG;R1;En retard d'un an;1;Homme;C;Assez bien;2014;3.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;2012;4.0;0.0;1.0;1.0
LLSH;Lettres, langues et sciences humaines;05;Langues;25;Cultures et langues régionales;5;BAC technologique hors STMG;R2;En retard de plus d'un an;1;Homme;Q;Inconnue;2014;;;;;;;;;2012;2.0;0.0;0.0;0.0
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;1;Mathématiques;6;BAC professionnel;R4;Non pris en compte;2;Femme;B;Bien;2014;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2012;;;;
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;2;Physique;1;BAC L;R0;A l'heure ou en avance;2;Femme;C;Assez bien;2014;;;;;;;;;2012;2.0;0.0;2.0;2.0
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;2;Physique;2;BAC ES;R0;A l'heure ou en avance;1;Homme;D;Passable premier groupe;2014;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2012;2.0;0.0;1.0;1.0
LLSH;Lettres, langues et sciences humaines;05;Langues;65;Pluridisciplinaire langues;5;BAC technologique hors STMG;R1;En retard d'un an;1;Homme;D;Passable premier groupe;2014;;;;;;;;;2012;1.0;0.0;1.0;1.0
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;2;Physique;5;BAC technologique hors STMG;R0;A l'heure ou en avance;2;Femme;C;Assez bien;2014;10.0;0.0;3.0;0.0;0.0;1.0;0.0;1.0;2012;3.0;0.0;0.0;0.0
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;2;Physique;6;BAC professionnel;R4;Non pris en compte;1;Homme;D;Passable premier groupe;2014;12.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;2012;5.0;0.0;0.0;0.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;26;Philosophie, épistémologie;1;BAC L;R1;En retard d'un an;2;Femme;D;Passable premier groupe;2014;19.0;3.0;9.0;8.0;11.0;0.0;0.0;0.0;2012;21.0;2.0;3.0;5.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;26;Philosophie, épistémologie;1;BAC L;R2;En retard de plus d'un an;1;Homme;A;Très bien;2014;;;;;;;;;2012;1.0;1.0;0.0;1.0
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;12;Génie civil;3;BAC S;R2;En retard de plus d'un an;2;Femme;P;Passable deuxième groupe;2014;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;2012;;;;
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;26;Philosophie, épistémologie;4;BAC STMG;R2;En retard de plus d'un an;1;Homme;C;Assez bien;2014;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2012;1.0;1.0;0.0;1.0
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;12;Génie civil;5;BAC technologique hors STMG;R0;A l'heure ou en avance;2;Femme;B;Bien;2014;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2012;;;;
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;28;Géographie;2;BAC ES;R2;En retard de plus d'un an;2;Femme;B;Bien;2014;;;;;;;;;2012;1.0;1.0;0.0;1.0
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;12;Génie civil;6;BAC professionnel;R4;Non pris en compte;2;Femme;C;Assez bien;2014;2.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;2012;;;;
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;28;Géographie;4;BAC STMG;R1;En retard d'un an;1;Homme;B;Bien;2014;;;;;;;;;2012;1.0;1.0;0.0;1.0
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;14;Informatique;3;BAC S;R0;A l'heure ou en avance;2;Femme;B;Bien;2014;14.0;11.0;1.0;1.0;12.0;0.0;1.0;1.0;2012;8.0;4.0;0.0;4.0
LLSH;Lettres, langues et sciences humaines;32;Pluridisciplinaire lettres, langues, sciences humaines;67;Pluridisciplinaire lettres, langues, sciences humaines;1;BAC L;R2;En retard de plus d'un an;2;Femme;C;Assez bien;2014;3.0;2.0;1.0;0.0;2.0;0.0;0.0;0.0;2012;2.0;0.0;0.0;0.0
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;14;Informatique;5;BAC technologique hors STMG;R0;A l'heure ou en avance;1;Homme;P;Passable deuxième groupe;2014;18.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;2012;11.0;0.0;1.0;1.0
SI;Sciences et sciences de l'ingénieur;09;Sciences de la vie, de la terre et de l'univers;5;Sciences de l'univers;3;BAC S;R2;En retard de plus d'un an;1;Homme;Q;Inconnue;2014;2.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;2012;1.0;0.0;0.0;0.0
SI;Sciences et sciences de l'ingénieur;09;Sciences de la vie, de la terre et de l'univers;5;Sciences de l'univers;5;BAC technologique hors STMG;R0;A l'heure ou en avance;1;Homme;C;Assez bien;2014;2.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;2012;4.0;0.0;0.0;0.0
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;14;Informatique;5;BAC technologique hors STMG;R2;En retard de plus d'un an;2;Femme;P;Passable deuxième groupe;2014;;;;;;;;;2012;1.0;0.0;0.0;0.0
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;15;Électronique, génie électrique;3;BAC S;R0;A l'heure ou en avance;1;Homme;D;Passable premier groupe;2014;2.0;1.0;1.0;1.0;2.0;0.0;0.0;0.0;2012;20.0;4.0;6.0;10.0
SI;Sciences et sciences de l'ingénieur;09;Sciences de la vie, de la terre et de l'univers;6;Sciences de la vie;2;BAC ES;R0;A l'heure ou en avance;1;Homme;P;Passable deuxième groupe;2014;4.0;0.0;2.0;1.0;1.0;1.0;0.0;1.0;2012;3.0;0.0;0.0;0.0
SI;Sciences et sciences de l'ingénieur;09;Sciences de la vie, de la terre et de l'univers;6;Sciences de la vie;3;BAC S;R1;En retard d'un an;1;Homme;C;Assez bien;2014;46.0;24.0;7.0;6.0;30.0;1.0;0.0;1.0;2012;68.0;25.0;12.0;37.0
SI;Sciences et sciences de l'ingénieur;09;Sciences de la vie, de la terre et de l'univers;6;Sciences de la vie;3;BAC S;R1;En retard d'un an;2;Femme;D;Passable premier groupe;2014;182.0;60.0;66.0;31.0;91.0;4.0;0.0;4.0;2012;183.0;33.0;33.0;66.0
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;16;Technologie et sciences industrielles;3;BAC S;R0;A l'heure ou en avance;1;Homme;P;Passable deuxième groupe;2014;25.0;3.0;14.0;7.0;10.0;1.0;1.0;2.0;2012;6.0;1.0;2.0;3.0
