gd_discipline;gd_discipline_lib;discipline;discipline_lib;sect_disciplinaire;sect_disciplinaire_lib;serie_bac;serie_bac_lib;age_au_bac;age_au_bac_lib;sexe;sexe_lib;mention_bac;mention_bac_lib;cohorte_passage;effectif_neobacheliers_passage;passage_en_l2_1_an;redoublement_en_l1;passage_en_l2_2_ans;passage_en_l2_1_2_ans;reorientation_en_dut_1_an;reorientation_en_dut_2_ans;reorientation_en_dut;cohorte_reussite;effectif_neobacheliers_reussite;reussite_3_ans;reussite_4_ans;reussite_3_4_ans
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;66;Pluridisciplinaire sciences humaines et sociales;5;BAC technologique hors STMG;R0;A l'heure ou en avance;2;Femme;Q;Inconnue;2014;5.0;2.0;1.0;0.0;2.0;0.0;0.0;0.0;2012;6.0;0.0;2.0;2.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;66;Pluridisciplinaire sciences humaines et sociales;5;BAC technologique hors STMG;R2;En retard de plus d'un an;1;Homme;D;Passable premier groupe;2014;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2012;8.0;1.0;1.0;2.0
LLSH;Lettres, langues et sciences humaines;32;Pluridisciplinaire lettres, langues, sciences humaines;67;Pluridisciplinaire lettres, langues, sciences humaines;1;BAC L;R1;En retard d'un an;2;Femme;C;Assez bien;2014;7.0;4.0;2.0;1.0;5.0;1.0;0.0;1.0;2012;7.0;5.0;1.0;6.0
LLSH;Lettres, langues et sciences humaines;32;Pluridisciplinaire lettres, langues, sciences humaines;67;Pluridisciplinaire lettres, langues, sciences humaines;2;BAC ES;R0;A l'heure ou en avance;1;Homme;D;Passable premier groupe;2014;7.0;6.0;0.0;0.0;6.0;1.0;0.0;1.0;2012;9.0;2.0;3.0;5.0
LLSH;Lettres, langues et sciences humaines;32;Pluridisciplinaire lettres, langues, sciences humaines;67;Pluridisciplinaire lettres, langues, sciences humaines;2;BAC ES;R1;En retard d'un an;2;Femme;C;Assez bien;2014;3.0;2.0;1.0;1.0;3.0;0.0;0.0;0.0;2012;3.0;2.0;0.0;2.0
LLSH;Lettres, langues et sciences humaines;32;Pluridisciplinaire lettres, langues, sciences humaines;67;Pluridisciplinaire lettres, langues, sciences humaines;3;BAC S;R0;A l'heure ou en avance;2;Femme;P;Passable deuxième groupe;2014;2.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;2012;;;;
SI;Sciences et sciences de l'ingénieur;09;Sciences de la vie, de la terre et de l'univers;5;Sciences de l'univers;3;BAC S;R1;En retard d'un an;2;Femme;B;Bien;2014;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2012;1.0;1.0;0.0;1.0
SI;Sciences et sciences de l'ingénieur;09;Sciences de la vie, de la terre et de l'univers;5;Sciences de l'univers;5;BAC technologique hors STMG;R0;A l'heure ou en avance;2;Femme;P;Passable deuxième groupe;2014;;;;;;;;;2012;4.0;0.0;0.0;0.0
SI;Sciences et sciences de l'ingénieur;09;Sciences de la vie, de la terre et de l'univers;5;Sciences de l'univers;6;BAC professionnel;R4;Non pris en compte;1;Homme;D;Passable premier groupe;2014;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2012;6.0;0.0;0.0;0.0
SI;Sciences et sciences de l'ingénieur;09;Sciences de la vie, de la terre et de l'univers;6;Sciences de la vie;1;BAC L;R1;En retard d'un an;2;Femme;B;Bien;2014;;;;;;;;;2012;1.0;0.0;0.0;0.0
SI;Sciences et sciences de l'ingénieur;09;Sciences de la vie, de la terre et de l'univers;6;Sciences de la vie;2;BAC ES;R0;A l'heure ou en avance;2;Femme;C;Assez bien;2014;24.0;1.0;9.0;6.0;7.0;2.0;1.0;3.0;2012;20.0;3.0;0.0;3.0
